rescue_id,business_id,business_name,business_type,city,country,latitude,longitude,date,food_category,food_item,surplus_items,surplus_kg,original_price,rescue_price,currency,meals_available,meals_rescued,meals_expired,rescue_rate,revenue_recovered_local,revenue_recovered_usd,co2e_avoided_kg,data_type
RES-0013524,NIG-BEN-38,Golden Benin City 38,Restaurant,Benin City,Nigeria,6.320219,5.610853,2025-12-20,Fruits & Vegetables,Tomatoes,29,13.09,6400.0,2700.0,NGN,24,11,13,0.4583,29700.0,18.56,7.96,Synthetic
RES-0013525,NIG-JOS-73,ValueMart Jos 73,Supermarket,Jos,Nigeria,9.909359,8.830071,2025-10-03,Bakery,Dinner Rolls,91,23.87,1420.0,650.0,NGN,44,25,19,0.5682,16250.0,10.16,16.42,Synthetic
RES-0013526,NIG-IBA-50,Event Kitchen Ibadan 50,Caterer,Ibadan,Nigeria,7.471071,3.96425,2025-11-13,Dairy,Cheese,31,9.64,933.0,497.0,NGN,24,22,2,0.9167,10934.0,6.83,12.65,Synthetic
RES-0013527,RWA-KIG-40,Savanna Kigali 40,Restaurant,Kigali,Rwanda,-1.934261,30.06771,2025-08-13,Prepared Meals,Fried Rice,8,4.02,7980.0,3990.0,RWF,7,2,5,0.2857,7980.0,5.5,1.29,Synthetic
RES-0013528,NIG-ENU-46,Daily Brew Enugu 46,Café,Enugu,Nigeria,6.49428,7.565615,2025-11-10,Prepared Meals,Jollof Rice,14,5.65,5870.0,2740.0,NGN,12,10,2,0.8333,27400.0,17.12,7.41,Synthetic
RES-0013529,SOU-JOH-43,Premier Johannesburg 43,Hotel,Johannesburg,South Africa,-26.239859,27.970127,2025-07-07,Fruits & Vegetables,Pineapples,55,31.55,143.0,58.0,ZAR,72,62,10,0.8611,3596.0,199.78,63.64,Synthetic
RES-0013530,SOU-PRE-39,Celebration Pretoria 39,Caterer,Pretoria,South Africa,-25.693473,28.198787,2025-08-31,Rice & Grains,Rice Pack,94,37.13,250.0,113.0,ZAR,97,68,29,0.701,7684.0,426.89,42.4,Synthetic
RES-0013531,UGA-KAM-44,Fresh Choice Kampala 44,Supermarket,Kampala,Uganda,0.3704,32.53293,2025-07-25,Dairy,Custard,28,9.02,69570.0,33200.0,UGX,21,20,1,0.9524,664000.0,179.46,16.91,Synthetic
RES-0013532,NIG-ABU-63,Bean Abuja 63,Café,Abuja,Nigeria,9.112547,7.345648,2025-04-13,Dairy,Flavoured Yoghurt,3,0.89,4310.0,2000.0,NGN,2,1,1,0.5,2000.0,1.25,0.62,Synthetic
RES-0013533,NIG-IBA-51,Kitchen Ibadan 51,Restaurant,Ibadan,Nigeria,7.395326,3.901048,2025-04-23,Prepared Meals,Local Rice Meal,20,9.35,6900.0,3900.0,NGN,21,19,2,0.9048,74100.0,46.31,13.12,Synthetic
RES-0013534,ETH-BAH-33,ValueMart Bahir Dar 33,Supermarket,Bahir Dar,Ethiopia,11.543507,37.310032,2025-05-22,Bakery,Whole Wheat Bread,22,6.27,1300.0,810.0,ETB,13,9,4,0.6923,7290.0,50.28,8.33,Synthetic
RES-0013535,SOU-CAP-10,Fresh Cape Town 10,Restaurant,Cape Town,South Africa,-33.969878,18.448188,2025-08-18,Prepared Meals,Pasta Meal,80,40.17,260.0,145.0,ZAR,98,93,5,0.949,13485.0,749.17,78.13,Synthetic
RES-0013536,GHA-TAM-23,Fresh Tamale 23,Restaurant,Tamale,Ghana,9.473803,-0.853379,2025-12-18,Beverages,Bottled Water,7,2.97,77.0,35.0,GHS,5,4,1,0.8,140.0,9.03,3.84,Synthetic
RES-0013537,UGA-JIN-35,Grand Jinja 35,Hotel,Jinja,Uganda,0.485042,33.18821,2025-10-16,Dairy,Yoghurt,24,6.39,21640.0,13950.0,UGX,17,12,5,0.7059,167400.0,45.24,12.19,Synthetic
RES-0013538,ETH-ADD-26,Taste Hub Addis Ababa 26,Caterer,Addis Ababa,Ethiopia,9.04306,38.781917,2025-04-20,Prepared Meals,Pasta Meal,37,18.54,705.0,394.0,ETB,44,34,10,0.7727,13396.0,92.39,29.52,Synthetic
RES-0013539,NIG-ENU-10,Mama's Enugu 10,Food Vendor,Enugu,Nigeria,6.506466,7.547553,2025-01-08,Bakery,Baguette,18,5.09,1540.0,570.0,NGN,11,10,1,0.9091,5700.0,3.56,7.12,Synthetic
RES-0013540,ETH-ADD-39,Savanna Addis Ababa 39,Restaurant,Addis Ababa,Ethiopia,9.018518,38.789522,2025-09-26,Prepared Meals,Local Rice Meal,37,16.41,826.0,383.0,ETB,34,24,10,0.7059,9192.0,63.39,20.72,Synthetic
RES-0013541,NIG-BEN-75,Quick Bite Benin City 75,Food Vendor,Benin City,Nigeria,6.314415,5.574807,2025-12-04,Fruits & Vegetables,Mixed Vegetables,51,28.8,5940.0,3530.0,NGN,58,44,14,0.7586,155320.0,97.08,26.1,Synthetic
RES-0013542,COT-YAM-26,Fresh Choice Yamoussoukro 26,Supermarket,Yamoussoukro,Cote d'Ivoire,6.823629,-5.261569,2025-04-03,Fruits & Vegetables,Bananas,159,71.13,9270.0,3420.0,XOF,167,104,63,0.6228,355680.0,583.08,64.44,Synthetic
RES-0013543,NIG-LAG-45,Morning Lagos 45,Bakery,Lagos,Nigeria,6.482252,3.384819,2025-11-22,Fruits & Vegetables,Bananas,21,8.93,3840.0,1420.0,NGN,21,18,3,0.8571,25560.0,15.98,11.96,Synthetic
RES-0013544,NIG-ENU-36,Kitchen Enugu 36,Restaurant,Enugu,Nigeria,6.471477,7.500672,2025-12-18,Prepared Meals,Beans & Plantain,66,28.55,2610.0,1600.0,NGN,67,34,33,0.5075,54400.0,34.0,34.91,Synthetic
RES-0013545,NIG-BEN-39,Savanna Benin City 39,Restaurant,Benin City,Nigeria,6.339476,5.624755,2025-05-20,Pastries,Meat Pie,41,8.36,3130.0,1610.0,NGN,26,23,3,0.8846,37030.0,23.14,17.27,Synthetic
RES-0013546,UGA-JIN-34,Green Cup Jinja 34,Café,Jinja,Uganda,0.438262,33.178461,2025-04-13,Prepared Meals,Pasta Meal,10,4.89,63630.0,22450.0,UGX,15,8,7,0.5333,179600.0,48.54,8.69,Synthetic
RES-0013547,COT-ABI-36,ValueMart Abidjan 36,Supermarket,Abidjan,Cote d'Ivoire,5.329896,-3.990403,2025-11-21,Fruits & Vegetables,Oranges,26,13.33,9320.0,3390.0,XOF,43,30,13,0.6977,101700.0,166.72,19.46,Synthetic
RES-0013548,NIG-JOS-41,Harvest Jos 41,Restaurant,Jos,Nigeria,9.909054,8.886682,2025-02-10,Bakery,Baguette,37,9.59,7140.0,4440.0,NGN,25,16,9,0.64,71040.0,44.4,12.86,Synthetic
RES-0013549,NIG-ABU-65,Harvest Abuja 65,Restaurant,Abuja,Nigeria,9.079325,7.421206,2025-03-31,Rice & Grains,Maize Meal,6,2.68,6510.0,2900.0,NGN,5,5,0,1.0,14500.0,9.06,4.12,Synthetic
RES-0013550,NIG-ONI-58,Fresh Oven Onitsha 58,Bakery,Onitsha,Nigeria,6.14297,6.746806,2025-10-09,Prepared Meals,Pasta Meal,23,10.21,4030.0,2540.0,NGN,22,11,11,0.5,27940.0,17.46,5.79,Synthetic
RES-0013551,NIG-IBA-52,Savanna Ibadan 52,Restaurant,Ibadan,Nigeria,7.391437,3.943731,2025-10-16,Dairy,Milk,5,1.52,7280.0,2920.0,NGN,4,3,1,0.75,8760.0,5.48,2.42,Synthetic
RES-0013552,UGA-ENT-24,Taste Hub Entebbe 24,Caterer,Entebbe,Uganda,0.057514,32.406203,2025-01-21,Bakery,Dinner Rolls,19,5.07,57350.0,29170.0,UGX,15,7,8,0.4667,204190.0,55.19,5.6,Synthetic
RES-0013553,NIG-ONI-56,Taste Hub Onitsha 56,Caterer,Onitsha,Nigeria,6.171475,6.798291,2025-01-03,Prepared Meals,Pasta Meal,48,23.32,5010.0,3040.0,NGN,55,51,4,0.9273,155040.0,96.9,22.61,Synthetic
RES-0013554,COT-YAM-31,City Bites Yamoussoukro 31,Food Vendor,Yamoussoukro,Cote d'Ivoire,6.818237,-5.22596,2025-12-02,Fruits & Vegetables,Mangoes,30,16.38,10780.0,4010.0,XOF,32,24,8,0.75,96240.0,157.77,17.85,Synthetic
RES-0013555,SEN-SAI-17,Daily Brew Saint-Louis 17,Café,Saint-Louis,Senegal,16.065613,-16.466427,2025-06-15,Prepared Meals,Fried Rice,19,7.36,7150.0,2700.0,XOF,18,13,5,0.7222,35100.0,57.54,8.96,Synthetic
RES-0013556,NIG-LAG-41,Savanna Lagos 41,Restaurant,Lagos,Nigeria,6.560245,3.367091,2025-09-16,Bakery,Bread Loaf,12,3.2,6090.0,2600.0,NGN,6,5,1,0.8333,13000.0,8.12,5.18,Synthetic
RES-0013557,KEN-MOM-44,Garden Mombasa 44,Hotel,Mombasa,Kenya,-4.053448,39.657139,2025-08-13,Pastries,Doughnut,99,19.89,1620.0,810.0,KES,37,30,7,0.8108,24300.0,186.92,18.29,Synthetic
RES-0013558,COT-BOU-24,Event Kitchen Bouake 24,Caterer,Bouake,Cote d'Ivoire,7.77106,-5.047382,2025-09-07,Prepared Meals,Chicken Meal,153,69.67,6450.0,3270.0,XOF,136,70,66,0.5147,228900.0,375.25,32.02,Synthetic
RES-0013559,TAN-ARU-23,Taste Hub Arusha 23,Caterer,Arusha,Tanzania,-3.361715,36.695893,2025-12-28,Dairy,Yoghurt,54,16.63,5730.0,2240.0,TZS,44,22,22,0.5,49280.0,18.95,19.05,Synthetic
RES-0013560,RWA-KIG-03,Sunrise Kigali 03,Bakery,Kigali,Rwanda,-1.968014,30.144673,2025-01-14,Bakery,Sliced Bread,40,8.86,11380.0,7310.0,RWF,17,13,4,0.7647,95030.0,65.54,12.26,Synthetic
RES-0013561,NIG-ONI-65,Quick Bite Onitsha 65,Food Vendor,Onitsha,Nigeria,6.100171,6.774011,2025-02-25,Beverages,Fruit Juice,6,2.28,3040.0,1080.0,NGN,5,4,1,0.8,4320.0,2.7,1.81,Synthetic
RES-0013562,NIG-LAG-56,Garden Lagos 56,Hotel,Lagos,Nigeria,6.563827,3.355144,2025-01-08,Pastries,Sausage Roll,164,30.35,3400.0,2020.0,NGN,56,50,6,0.8929,101000.0,63.12,54.45,Synthetic
RES-0013563,UGA-ENT-41,Fresh Oven Entebbe 41,Bakery,Entebbe,Uganda,0.073821,32.457219,2025-05-31,Prepared Meals,Chicken Meal,26,13.11,66800.0,41170.0,UGX,24,22,2,0.9167,905740.0,244.79,25.48,Synthetic
RES-0013564,GHA-TAM-24,Harvest Tamale 24,Restaurant,Tamale,Ghana,9.411962,-0.80414,2025-08-19,Fruits & Vegetables,Mangoes,32,18.14,113.0,63.0,GHS,59,22,37,0.3729,1386.0,89.42,20.92,Synthetic
RES-0013565,RWA-KIG-63,Royal Kigali 63,Hotel,Kigali,Rwanda,-1.946685,30.035098,2025-07-06,Pastries,Doughnut,14,2.35,7410.0,3950.0,RWF,4,3,1,0.75,11850.0,8.17,1.98,Synthetic
RES-0013566,RWA-KIG-68,City Bites Kigali 68,Food Vendor,Kigali,Rwanda,-1.896493,30.009973,2025-10-18,Pastries,Sausage Roll,30,5.79,11740.0,6250.0,RWF,13,9,4,0.6923,56250.0,38.79,7.02,Synthetic
RES-0013567,GHA-TAM-25,Harvest Tamale 25,Restaurant,Tamale,Ghana,9.334857,-0.822033,2025-03-28,Rice & Grains,Maize Meal,30,13.18,13.0,6.0,GHS,26,20,6,0.7692,120.0,7.74,21.56,Synthetic
RES-0013568,NIG-ABE-61,Grand Abeokuta 61,Hotel,Abeokuta,Nigeria,7.147028,3.366325,2025-05-12,Pastries,Meat Pie,83,13.13,2070.0,780.0,NGN,34,26,8,0.7647,20280.0,12.68,24.28,Synthetic
RES-0013569,GHA-TAM-35,Fresh Choice Tamale 35,Supermarket,Tamale,Ghana,9.362248,-0.861016,2025-03-28,Prepared Meals,Chicken Meal,94,37.57,100.0,64.0,GHS,87,61,26,0.7011,3904.0,251.87,36.44,Synthetic
RES-0013570,ETH-ADD-37,Fresh Choice Addis Ababa 37,Supermarket,Addis Ababa,Ethiopia,9.03691,38.7174,2025-02-09,Rice & Grains,Rice Pack,49,20.23,1270.0,490.0,ETB,44,9,35,0.2045,4410.0,30.41,6.23,Synthetic
RES-0013571,NIG-POR-74,ValueMart Port Harcourt 74,Supermarket,Port Harcourt,Nigeria,4.823156,7.02186,2025-06-30,Bakery,Dinner Rolls,27,6.49,4570.0,1950.0,NGN,14,12,2,0.8571,23400.0,14.62,10.27,Synthetic
RES-0013572,NIG-ONI-72,ValueMart Onitsha 72,Supermarket,Onitsha,Nigeria,6.127156,6.792466,2025-04-24,Bakery,Dinner Rolls,23,5.28,1460.0,880.0,NGN,11,10,1,0.9091,8800.0,5.5,8.26,Synthetic
RES-0013573,SEN-DAK-23,City Market Dakar 23,Supermarket,Dakar,Senegal,14.733778,-17.499166,2025-06-03,Rice & Grains,Rice Pack,126,51.03,6330.0,2870.0,XOF,122,91,31,0.7459,261170.0,428.15,70.87,Synthetic
RES-0013574,RWA-MUS-65,Daily Musanze 65,Bakery,Musanze,Rwanda,-1.377013,29.654282,2025-09-28,Rice & Grains,Oats,31,12.49,3230.0,2060.0,RWF,23,20,3,0.8696,41200.0,28.41,15.52,Synthetic
RES-0013575,KEN-KIS-45,Fresh Choice Kisumu 45,Supermarket,Kisumu,Kenya,-0.068762,34.807833,2025-08-25,Rice & Grains,Grain Mix,51,24.45,462.0,278.0,KES,57,33,24,0.5789,9174.0,70.57,17.13,Synthetic
RES-0013576,TAN-MWA-48,Green Basket Mwanza 48,Supermarket,Mwanza,Tanzania,-2.499012,32.874734,2025-10-16,Bakery,Whole Wheat Bread,59,15.51,55710.0,28500.0,TZS,46,32,14,0.6957,912000.0,350.77,24.13,Synthetic
RES-0013577,GHA-ACC-47,ValueMart Accra 47,Supermarket,Accra,Ghana,5.618146,-0.186552,2025-07-17,Pastries,Croissant,32,5.06,20.0,10.0,GHS,9,3,6,0.3333,30.0,1.94,2.01,Synthetic
RES-0013578,COT-YAM-16,Bean Yamoussoukro 16,Café,Yamoussoukro,Cote d'Ivoire,6.84491,-5.302125,2025-10-16,Prepared Meals,Fried Rice,21,8.19,2010.0,840.0,XOF,19,10,9,0.5263,8400.0,13.77,9.48,Synthetic
RES-0013579,TAN-MWA-39,Sunrise Mwanza 39,Bakery,Mwanza,Tanzania,-2.534056,32.91208,2025-07-21,Rice & Grains,Oats,33,16.2,5010.0,3060.0,TZS,52,43,9,0.8269,131580.0,50.61,31.66,Synthetic
RES-0013580,NIG-ABU-46,Prime Plate Abuja 46,Caterer,Abuja,Nigeria,9.073476,7.355504,2025-10-19,Fruits & Vegetables,Bananas,138,74.55,2410.0,1400.0,NGN,163,125,38,0.7669,175000.0,109.38,74.05,Synthetic
RES-0013581,GHA-TAM-45,Sunrise Tamale 45,Bakery,Tamale,Ghana,9.40649,-0.828045,2025-06-29,Rice & Grains,Grain Mix,25,10.43,107.0,46.0,GHS,22,19,3,0.8636,874.0,56.39,11.93,Synthetic
RES-0013582,NIG-KAN-67,Quick Bite Kano 67,Food Vendor,Kano,Nigeria,12.070503,8.55464,2025-10-13,Beverages,Bottled Water,9,3.47,984.0,528.0,NGN,10,5,5,0.5,2640.0,1.65,3.46,Synthetic
RES-0013583,SOU-JOH-40,Street Taste Johannesburg 40,Food Vendor,Johannesburg,South Africa,-26.15823,28.06514,2025-07-18,Dairy,Yoghurt,8,2.71,188.0,121.0,ZAR,8,5,3,0.625,605.0,33.61,5.14,Synthetic
RES-0013584,SOU-CAP-50,Sunrise Cape Town 50,Bakery,Cape Town,South Africa,-33.930827,18.423161,2025-11-07,Bakery,Sliced Bread,46,11.89,60.0,26.0,ZAR,36,23,13,0.6389,598.0,33.22,26.23,Synthetic
RES-0013585,KEN-KIS-20,Savanna Kisumu 20,Restaurant,Kisumu,Kenya,-0.045634,34.727134,2025-12-04,Bakery,Sliced Bread,82,17.97,1340.0,780.0,KES,45,33,12,0.7333,25740.0,198.0,31.28,Synthetic
RES-0013586,COT-ABI-39,Kitchen Abidjan 39,Restaurant,Abidjan,Cote d'Ivoire,5.311988,-4.01883,2025-08-28,Prepared Meals,Jollof Rice,45,17.74,3110.0,1820.0,XOF,37,23,14,0.6216,41860.0,68.62,22.06,Synthetic
RES-0013587,KEN-NAI-41,Celebration Nairobi 41,Caterer,Nairobi,Kenya,-1.284815,36.80297,2025-06-17,Prepared Meals,Pasta Meal,53,24.67,1140.0,700.0,KES,47,41,6,0.8723,28700.0,220.77,35.43,Synthetic
RES-0013588,UGA-ENT-79,Kitchen Entebbe 79,Restaurant,Entebbe,Uganda,0.079382,32.491372,2025-06-19,Prepared Meals,Local Rice Meal,3,1.16,43950.0,18810.0,UGX,2,1,1,0.5,18810.0,5.08,0.73,Synthetic
RES-0013589,SOU-DUR-39,Celebration Durban 39,Caterer,Durban,South Africa,-29.753818,30.990485,2025-08-30,Prepared Meals,Jollof Rice,65,32.35,126.0,53.0,ZAR,72,57,15,0.7917,3021.0,167.83,52.14,Synthetic
RES-0013590,KEN-NAK-43,Daily Brew Nakuru 43,Café,Nakuru,Kenya,-0.314313,36.060853,2025-09-17,Fruits & Vegetables,Tomatoes,12,6.78,356.0,160.0,KES,22,19,3,0.8636,3040.0,23.38,12.41,Synthetic
RES-0013591,NIG-ONI-49,Kitchen Onitsha 49,Restaurant,Onitsha,Nigeria,6.209574,6.787076,2025-08-25,Prepared Meals,Chicken Meal,10,5.0,1380.0,630.0,NGN,16,12,4,0.75,7560.0,4.72,6.45,Synthetic
RES-0013592,SOU-PRE-55,Fresh Choice Pretoria 55,Supermarket,Pretoria,South Africa,-25.753494,28.191235,2025-12-25,Prepared Meals,Local Rice Meal,29,13.22,69.0,43.0,ZAR,32,24,8,0.75,1032.0,57.33,10.73,Synthetic
RES-0013593,SOU-JOH-49,Bean Johannesburg 49,Café,Johannesburg,South Africa,-26.229547,28.071917,2025-05-09,Rice & Grains,Rice Pack,10,4.66,254.0,133.0,ZAR,11,4,7,0.3636,532.0,29.56,2.09,Synthetic
RES-0013594,NIG-BEN-67,City Market Benin City 67,Supermarket,Benin City,Nigeria,6.281845,5.578442,2025-05-06,Pastries,Croissant,47,8.76,3930.0,2040.0,NGN,21,16,5,0.7619,32640.0,20.4,10.31,Synthetic
RES-0013595,UGA-JIN-34,Sunrise Jinja 34,Bakery,Jinja,Uganda,0.467832,33.209051,2025-11-08,Rice & Grains,Grain Mix,23,10.11,54890.0,29230.0,UGX,21,13,8,0.619,379990.0,102.7,6.43,Synthetic
RES-0013596,KEN-MOM-46,City Bites Mombasa 46,Food Vendor,Mombasa,Kenya,-3.967758,39.719228,2025-07-06,Prepared Meals,Fried Rice,21,10.81,949.0,490.0,KES,19,14,5,0.7368,6860.0,52.77,7.79,Synthetic
RES-0013597,NIG-POR-75,City Market Port Harcourt 75,Supermarket,Port Harcourt,Nigeria,4.797119,7.007623,2025-07-18,Rice & Grains,Grain Mix,53,22.22,4630.0,2200.0,NGN,63,34,29,0.5397,74800.0,46.75,23.96,Synthetic
RES-0013598,TAN-ARU-79,Urban Arusha 79,Restaurant,Arusha,Tanzania,-3.361188,36.749683,2025-11-25,Beverages,Soft Drink,103,39.48,18850.0,7730.0,TZS,83,33,50,0.3976,255090.0,98.11,24.25,Synthetic
RES-0013599,NIG-ABE-65,Bean Abeokuta 65,Café,Abeokuta,Nigeria,7.139759,3.332613,2025-09-07,Prepared Meals,Chicken Meal,37,16.68,7220.0,3230.0,NGN,37,27,10,0.7297,87210.0,54.51,16.41,Synthetic
RES-0013600,SOU-PRE-07,Urban Pretoria 07,Restaurant,Pretoria,South Africa,-25.773722,28.270224,2025-09-28,Fruits & Vegetables,Bananas,3,1.5,133.0,72.0,ZAR,3,2,1,0.6667,144.0,8.0,1.38,Synthetic
RES-0013601,SOU-CAP-39,Royal Cape Town 39,Hotel,Cape Town,South Africa,-33.883445,18.384357,2025-05-17,Prepared Meals,Beans & Plantain,37,16.57,56.0,30.0,ZAR,36,34,2,0.9444,1020.0,56.67,17.57,Synthetic
RES-0013602,NIG-ABU-47,Event Kitchen Abuja 47,Caterer,Abuja,Nigeria,9.130136,7.435931,2025-07-14,Rice & Grains,Millet Pack,53,20.72,5230.0,3340.0,NGN,46,22,24,0.4783,73480.0,45.92,21.64,Synthetic
RES-0013603,GHA-TAM-36,Fresh Choice Tamale 36,Supermarket,Tamale,Ghana,9.380949,-0.887521,2025-02-08,Beverages,Smoothie,33,13.15,25.0,10.0,GHS,25,16,9,0.64,160.0,10.32,9.0,Synthetic
RES-0013604,NIG-POR-64,Civic Port Harcourt 64,Hotel,Port Harcourt,Nigeria,4.844819,7.090039,2025-02-11,Dairy,Milk,36,12.25,2940.0,1240.0,NGN,35,30,5,0.8571,37200.0,23.25,22.44,Synthetic
RES-0013605,NIG-JOS-47,Urban Cup Jos 47,Café,Jos,Nigeria,9.899662,8.863537,2025-08-17,Dairy,Custard,11,3.33,6700.0,2930.0,NGN,7,5,2,0.7143,14650.0,9.16,3.75,Synthetic
RES-0013606,SOU-PRE-40,Event Kitchen Pretoria 40,Caterer,Pretoria,South Africa,-25.750448,28.243874,2025-02-12,Prepared Meals,Local Rice Meal,40,19.99,113.0,50.0,ZAR,36,33,3,0.9167,1650.0,91.67,18.51,Synthetic
RES-0013607,NIG-ABE-62,Premier Abeokuta 62,Hotel,Abeokuta,Nigeria,7.157862,3.323163,2025-09-28,Prepared Meals,Pasta Meal,49,19.43,4360.0,1760.0,NGN,59,43,16,0.7288,75680.0,47.3,20.98,Synthetic
RES-0013608,COT-BOU-21,Fresh Choice Bouake 21,Supermarket,Bouake,Cote d'Ivoire,7.700227,-5.060278,2025-09-20,Dairy,Milk,63,19.75,8100.0,4940.0,XOF,37,23,14,0.6216,113620.0,186.26,11.5,Synthetic
RES-0013609,GHA-KUM-41,Golden Crust Kumasi 41,Bakery,Kumasi,Ghana,6.693454,-1.697638,2025-08-02,Dairy,Flavoured Yoghurt,24,6.61,46.0,27.0,GHS,13,8,5,0.6154,216.0,13.94,6.46,Synthetic
RES-0013610,NIG-ENU-52,Fresh Oven Enugu 52,Bakery,Enugu,Nigeria,6.485419,7.585896,2025-06-23,Prepared Meals,Pasta Meal,8,3.64,4540.0,2120.0,NGN,8,5,3,0.625,10600.0,6.62,4.1,Synthetic
RES-0013611,ETH-BAH-26,Street Taste Bahir Dar 26,Food Vendor,Bahir Dar,Ethiopia,11.562454,37.362775,2025-09-24,Dairy,Custard,7,2.4,1360.0,750.0,ETB,5,4,1,0.8,3000.0,20.69,2.56,Synthetic
RES-0013612,KEN-MOM-41,Event Kitchen Mombasa 41,Caterer,Mombasa,Kenya,-4.031697,39.654085,2025-10-09,Fruits & Vegetables,Oranges,129,57.61,1440.0,700.0,KES,121,99,22,0.8182,69300.0,533.08,107.26,Synthetic
RES-0013613,SOU-CAP-11,Fresh Cape Town 11,Restaurant,Cape Town,South Africa,-33.924937,18.455783,2025-12-15,Prepared Meals,Fried Rice,29,14.92,239.0,104.0,ZAR,43,38,5,0.8837,3952.0,219.56,36.89,Synthetic
RES-0013614,RWA-KIG-73,Bean Kigali 73,Café,Kigali,Rwanda,-2.004364,30.022833,2025-03-03,Rice & Grains,Grain Mix,12,4.69,5420.0,2210.0,RWF,13,8,5,0.6154,17680.0,12.19,6.1,Synthetic
RES-0013615,ETH-DIR-14,Event Kitchen Dire Dawa 14,Caterer,Dire Dawa,Ethiopia,9.594152,41.907472,2025-02-08,Beverages,Iced Tea,201,68.42,832.0,293.0,ETB,164,76,88,0.4634,22268.0,153.57,54.38,Synthetic
RES-0013616,NIG-ABU-66,Savanna Abuja 66,Restaurant,Abuja,Nigeria,9.068493,7.381689,2025-07-15,Dairy,Flavoured Yoghurt,39,10.63,3330.0,1270.0,NGN,32,10,22,0.3125,12700.0,7.94,9.76,Synthetic
RES-0013617,NIG-ABE-66,Green Cup Abeokuta 66,Café,Abeokuta,Nigeria,7.182066,3.370731,2025-07-14,Prepared Meals,Pasta Meal,27,10.41,7100.0,2550.0,NGN,26,12,14,0.4615,30600.0,19.12,10.69,Synthetic
RES-0013618,COT-BOU-46,Savanna Bouake 46,Restaurant,Bouake,Cote d'Ivoire,7.680063,-4.984217,2025-01-03,Rice & Grains,Rice Pack,10,4.96,8520.0,3270.0,XOF,9,6,3,0.6667,19620.0,32.16,6.23,Synthetic
RES-0013619,NIG-LAG-46,Sunrise Lagos 46,Bakery,Lagos,Nigeria,6.550037,3.388353,2025-01-04,Rice & Grains,Oats,48,20.06,6790.0,3680.0,NGN,36,18,18,0.5,66240.0,41.4,14.04,Synthetic
RES-0013620,RWA-KIG-59,Taste Hub Kigali 59,Caterer,Kigali,Rwanda,-1.964961,30.063981,2025-07-28,Pastries,Doughnut,170,28.14,6850.0,3060.0,RWF,91,64,27,0.7033,195840.0,135.06,61.29,Synthetic
RES-0013621,SOU-CAP-12,Golden Cape Town 12,Restaurant,Cape Town,South Africa,-33.953491,18.410215,2025-10-14,Fruits & Vegetables,Bananas,3,1.54,47.0,17.0,ZAR,3,1,2,0.3333,17.0,0.94,0.61,Synthetic
RES-0013622,KEN-NAI-46,Morning Nairobi 46,Bakery,Nairobi,Kenya,-1.302372,36.843361,2025-10-30,Fruits & Vegetables,Tomatoes,13,5.72,1580.0,720.0,KES,14,11,3,0.7857,7920.0,60.92,10.61,Synthetic
RES-0013623,UGA-JIN-75,Fresh Jinja 75,Restaurant,Jinja,Uganda,0.426124,33.154569,2025-02-28,Dairy,Cheese,21,6.86,49850.0,17490.0,UGX,19,12,7,0.6316,209880.0,56.72,10.03,Synthetic
RES-0013624,COT-YAM-18,Premier Yamoussoukro 18,Hotel,Yamoussoukro,Cote d'Ivoire,6.813163,-5.276211,2025-10-01,Pastries,Muffin,55,9.79,2170.0,1080.0,XOF,18,8,10,0.4444,8640.0,14.16,5.56,Synthetic
RES-0013625,NIG-LAG-49,Prime Plate Lagos 49,Caterer,Lagos,Nigeria,6.510728,3.390489,2025-06-01,Rice & Grains,Oats,211,94.49,5730.0,3150.0,NGN,195,95,100,0.4872,299250.0,187.03,65.32,Synthetic
RES-0013626,SOU-DUR-51,Urban Cup Durban 51,Café,Durban,South Africa,-29.871714,30.966322,2025-09-03,Fruits & Vegetables,Mixed Vegetables,15,7.91,101.0,48.0,ZAR,20,13,7,0.65,624.0,34.67,9.65,Synthetic
RES-0013627,RWA-KIG-64,Premier Kigali 64,Hotel,Kigali,Rwanda,-1.938789,30.049384,2025-11-14,Dairy,Milk,60,20.42,1710.0,1070.0,RWF,54,42,12,0.7778,44940.0,30.99,39.06,Synthetic
RES-0013628,NIG-JOS-58,Fresh Oven Jos 58,Bakery,Jos,Nigeria,9.868399,8.844244,2025-10-17,Prepared Meals,Jollof Rice,57,23.53,7580.0,3250.0,NGN,43,41,2,0.9535,133250.0,83.28,28.33,Synthetic
RES-0013629,ETH-DIR-45,City Bites Dire Dawa 45,Food Vendor,Dire Dawa,Ethiopia,9.570302,41.820899,2025-02-14,Dairy,Yoghurt,10,2.81,271.0,158.0,ETB,7,6,1,0.8571,948.0,6.54,2.8,Synthetic
RES-0013630,GHA-TAK-42,Event Kitchen Takoradi 42,Caterer,Takoradi,Ghana,5.000667,-1.854133,2025-09-03,Prepared Meals,Fried Rice,74,30.73,83.0,41.0,GHS,96,77,19,0.8021,3157.0,203.68,64.47,Synthetic
RES-0013631,NIG-IBA-77,City Bites Ibadan 77,Food Vendor,Ibadan,Nigeria,7.357178,3.997725,2025-07-21,Prepared Meals,Chicken Meal,12,5.76,1450.0,830.0,NGN,11,8,3,0.7273,6640.0,4.15,7.68,Synthetic
